fixture_id,provider_league_id,league_name,season,round,kickoff_utc,home_team,away_team,source_status,first_queued_at_utc,last_seen_at_utc,backlog_status,captured_at_utc,queue_source
1515890,365,Virsliga,2026,Regular Season - 24,2026-07-26T15:30:00+00:00,FS Jelgava,FK Liepaja,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1515892,365,Virsliga,2026,Regular Season - 24,2026-07-26T16:00:00+00:00,Auda,BFC Daugavpils,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1515891,365,Virsliga,2026,Regular Season - 24,2026-07-27T15:00:00+00:00,Tukums,Rīgas FS,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1515893,365,Virsliga,2026,Regular Season - 24,2026-07-27T16:00:00+00:00,Grobiņa,Ogre United,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1547600,362,A Lyga,2026,Regular Season - 25,2026-08-02T15:45:00+00:00,Hegelmann Litauen,TransINVEST Vilnius,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1547602,362,A Lyga,2026,Regular Season - 25,2026-08-03T15:45:00+00:00,Šiauliai,Banga,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1547603,362,A Lyga,2026,Regular Season - 25,2026-08-03T16:30:00+00:00,Panevėžys,Džiugas Telšiai,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1553127,106,Ekstraklasa,2026,Regular Season - 3,2026-08-07T18:30:00+00:00,Wisla Krakow,Wisla Plock,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1553124,106,Ekstraklasa,2026,Regular Season - 3,2026-08-08T12:45:00+00:00,Radomiak Radom,Gornik Zabrze,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1553123,106,Ekstraklasa,2026,Regular Season - 3,2026-08-08T15:30:00+00:00,Pogon Szczecin,Motor Lublin,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1553121,106,Ekstraklasa,2026,Regular Season - 3,2026-08-08T18:15:00+00:00,Korona Kielce,Legia Warszawa,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1553126,106,Ekstraklasa,2026,Regular Season - 3,2026-08-09T12:45:00+00:00,Slask Wroclaw,Cracovia Krakow,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1553122,106,Ekstraklasa,2026,Regular Season - 3,2026-08-09T15:30:00+00:00,Lech Poznan,Piast Gliwice,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1553120,106,Ekstraklasa,2026,Regular Season - 3,2026-08-09T18:15:00+00:00,Jagiellonia,Widzew Łódź,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1552135,88,Eredivisie,2026,Regular Season - 3,2026-08-22T14:30:00+00:00,Fortuna Sittard,AZ Alkmaar,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1552137,88,Eredivisie,2026,Regular Season - 3,2026-08-22T16:45:00+00:00,Sparta Rotterdam,Utrecht,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1556640,179,Premiership,2026,Regular Season - 3,2026-08-22T16:45:00+00:00,Dundee Utd,Dundee,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1552138,88,Eredivisie,2026,Regular Season - 3,2026-08-22T19:00:00+00:00,Heerenveen,PEC Zwolle,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1552139,88,Eredivisie,2026,Regular Season - 3,2026-08-23T10:15:00+00:00,GO Ahead Eagles,ADO Den Haag,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1552140,88,Eredivisie,2026,Regular Season - 3,2026-08-23T12:30:00+00:00,PSV Eindhoven,Groningen,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1552141,88,Eredivisie,2026,Regular Season - 3,2026-08-23T14:45:00+00:00,Cambuur,Feyenoord,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1570392,140,La Liga,2026,Regular Season - 6,2026-09-03T19:00:00+00:00,Real Sociedad,Celta Vigo,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1552136,88,Eredivisie,2026,Regular Season - 3,2026-09-08T16:45:00+00:00,NEC Nijmegen,Excelsior,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1552142,88,Eredivisie,2026,Regular Season - 3,2026-09-09T16:45:00+00:00,Twente,Telstar,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1556644,179,Premiership,2026,Regular Season - 3,2026-09-09T18:45:00+00:00,Rangers,ST Mirren,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
1556645,179,Premiership,2026,Regular Season - 3,2026-09-09T19:00:00+00:00,ST Johnstone,Celtic,FT,2026-09-15T16:55:09Z,2026-09-15T16:55:09Z,PENDING,,current_round_terminal_fixture
