forward_id,rule,api_fixture_id,snapshot_type,captured_at_utc,kickoff_utc,hours_to_kickoff,evidence_time_status,usable_for_prematch,venue_name,venue_city,geocoded_name,country_code,latitude,longitude,elevation_m,altitude_zone,elevation_source,forecast_time_utc,forecast_gap_minutes,temperature_c,apparent_temperature_c,relative_humidity_pct,dew_point_c,surface_pressure_hpa,cloud_cover_pct,precipitation_probability_pct,precipitation_mm,rain_mm,showers_mm,snowfall_cm,weather_code,thunderstorm_evidence,visibility_m,wind_speed_10m_kmh,wind_gusts_10m_kmh,wind_direction_10m_deg,air_quality_status,air_quality_time_utc,air_quality_gap_minutes,dust_ug_m3,pm10_ug_m3,pm2_5_ug_m3,aerosol_optical_depth,european_aqi,source,context_only,notes
R1|I1|1550124,R1,1550124,BASELINE,2026-09-11T10:18:25Z,2026-09-13T18:45:00Z,56.44,,,,Reggio Emilia,Reggio Emilia,IT,44.69825,10.63125,58.0,,,2026-09-13T19:00:00Z,15.0,22.9,23.8,,,,,1,0.0,0.0,,0.0,3,,40700.0,3.6,6.8,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550125,R1,1550125,BASELINE,2026-09-11T10:18:25Z,2026-09-14T16:30:00Z,78.19,,,Stadio Olimpico di Torino,Turin,Turin,IT,45.07049,7.68682,239.0,,,2026-09-14T16:00:00Z,30.0,29.1,29.4,,,,,0,0.0,0.0,,0.0,1,,43380.0,5.4,14.0,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550131,R1,1550131,BASELINE,2026-09-11T10:18:25Z,2026-09-20T13:00:00Z,218.69,,,Stadio Benito Stirpe,Frosinone,Frosinone,IT,41.63976,13.34109,291.0,,,2026-09-20T13:00:00Z,0.0,27.3,27.7,,,,,15,0.0,0.0,,0.0,1,,41920.0,10.3,28.8,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550124,R1,1550124,T24,2026-09-12T12:57:41Z,2026-09-13T18:45:00Z,29.79,,,,Reggio Emilia,Reggio Emilia,IT,44.69825,10.63125,58.0,,,2026-09-13T19:00:00Z,15.0,23.2,24.8,,,,,0,0.0,0.0,,0.0,2,,39680.0,2.3,4.3,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550125,R1,1550125,T24,2026-09-13T10:41:38Z,2026-09-14T16:30:00Z,29.81,,,Stadio Olimpico di Torino,Turin,Turin,IT,45.07049,7.68682,239.0,,,2026-09-14T16:00:00Z,30.0,29.5,29.7,,,,,0,0.0,0.0,,0.0,0,,43940.0,6.1,10.1,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550124,R1,1550124,T3,2026-09-13T12:48:37Z,2026-09-13T18:45:00Z,5.94,,,,Reggio Emilia,Reggio Emilia,IT,44.69825,10.63125,58.0,,,2026-09-13T19:00:00Z,15.0,24.1,25.2,,,,,0,0.0,0.0,,0.0,3,,40980.0,2.5,4.7,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550124,R1,1550124,T60,2026-09-13T17:29:10Z,2026-09-13T18:45:00Z,1.26,,,,Reggio Emilia,Reggio Emilia,IT,44.69825,10.63125,58.0,,,2026-09-13T19:00:00Z,15.0,24.1,25.3,,,,,0,0.0,0.0,,0.0,3,,40800.0,2.8,5.0,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550125,R1,1550125,T3,2026-09-14T10:43:43Z,2026-09-14T16:30:00Z,5.77,,,Stadio Olimpico di Torino,Turin,Turin,IT,45.07049,7.68682,239.0,,,2026-09-14T16:00:00Z,30.0,29.1,29.3,,,,,0,0.0,0.0,,0.0,0,,43120.0,7.1,13.0,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550125,R1,1550125,T60,2026-09-14T15:17:13Z,2026-09-14T16:30:00Z,1.21,,,Stadio Olimpico di Torino,Turin,Turin,IT,45.07049,7.68682,239.0,,,2026-09-14T16:00:00Z,30.0,29.3,29.2,,,,,0,0.0,0.0,,0.0,0,,43660.0,7.8,13.3,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
R1|I1|1550143,R1,1550143,BASELINE,2026-09-18T07:31:54Z,2026-10-11T13:00:00Z,557.47,,,Stadio Via del Mare,Lecce,Lecce,IT,40.35481,18.17244,49.0,,,2026-10-03T23:00:00Z,10920.0,22.4,24.0,,,,,4,0.0,0.0,,0.0,3,,24140.0,0.5,3.6,,,,,,,,,,Open-Meteo hourly forecast; venue city geocoding,YES,city-level weather proxy; not a betting filter
